participant,Word,age,gender,race,native_lang,other_langs,place_of_birth,Item,Condition,Type,Sentences,response.corr,response.rt,PhrasalVerb,Frequency,Predictability,OnsetTime,OffsetTime,Duration,accuracy,nrows,trial,response_time,corpus_size,frequency_per_million,log_freq,log_predic,log_rt
776313,rigged up,,,,,,,153,Experimental,Phrasal Verb,They rigged up a makeshift tent in the woods.,1,0.9230000000000018,1,85971,0.120784125,0.48,0.565,0.085,0.9,368,17,0.44300000000000184,1064910000000,0.08073076598022368,-2.51663553744701,-2.113750417680118,-0.8141855089369973
776313,set up,,,,,,,1,Experimental,Phrasal Verb,I set up the tent before the sun went down.,1,0.964999999999975,1,17421200,0.109674,0.396,0.459,0.063,0.9,368,18,0.568999999999975,1064910000000,16.35931674977228,2.7947975668411313,-2.210242949819615,-0.5638748448558502
776313,suppose,,,,,,,347,Experimental,Word-Internal,"Suppose we leave early, we should arrive on time.",0,3.637999999999977,NA,30695441,NA,0.45,0.516,0.066,0.9,368,21,3.1879999999999766,1064910000000,28.82444619733123,3.3612238533888146,NA,1.1593937609279612
776313,hooking up,,,,,,,188,Experimental,Phrasal Verb,They're hooking up the new TV to the cable box.,1,1.1260000000000332,1,92519,0.35203,0.466,0.519,0.053,0.9,368,22,0.6600000000000332,1064910000000,0.08687964241109578,-2.4432315386993677,-1.0440388797429503,-0.4155154439616155
776313,upscale,,,,,,,245,Experimental,Word-Internal,They enjoyed a luxurious vacation at an upscale resort.,1,2.4499999999999886,NA,672946,NA,1.88,1.978,0.098,0.9,368,24,0.5699999999999887,1064910000000,0.6319275807345222,-0.45898047884629883,NA,-0.562118918153561
776313,upper,,,,,,,349,Experimental,Word-Internal,The upper management approved the new project proposal.,1,0.9839999999999804,NA,40256450,NA,0.4,0.483,0.083,0.9,368,25,0.5839999999999804,1064910000000,37.80267816059573,3.6323799509251526,NA,-0.5378542961539435
776313,upright,,,,,,,333,Experimental,Word-Internal,"She stood upright, with her shoulders back and head held high.",1,0.9730000000000132,NA,4937976,NA,0.58,0.666,0.086,0.9,368,26,0.39300000000001323,1064910000000,4.636989041327436,1.5340652420956484,NA,-0.9339456671128421
776313,add up,,,,,,,36,Experimental,Phrasal Verb,"The numbers don't add up, there must be a mistake.",1,1.3010000000001014,1,1117613,0.023427,0.981,1.112,0.131,0.9,368,28,0.3200000000001014,1064910000000,1.049490567277986,0.048304872413468085,-3.753866075633489,-1.139434283188048
776313,pay up,,,,,,,140,Experimental,Phrasal Verb,It's time to pay up for the services rendered.,1,1.3220000000000027,0,189202,0.003236223,0.921,1.007,0.086,0.9,368,35,0.4010000000000027,1064910000000,0.17766947441567832,-1.7278303401439192,-5.733348369922901,-0.9137938516755612
776313,eruption,,,,,,,315,Experimental,Word-Internal,"The volcanic eruption created a spectacle of smoke, ash, and lava.",1,2.0009999999999764,NA,1673601,NA,0.848,0.931,0.083,0.9,368,37,1.1529999999999765,1064910000000,1.5715891483787363,0.452087303854415,NA,0.1423672412869016
776313,cook up,,,,,,,155,Experimental,Phrasal Verb,She cooked up a delicious meal for her guests.,1,3.7670000000000528,1,72162,0.004376435,0.379,0.448,0.069,0.9,368,38,3.3880000000000527,1064910000000,0.06776347296954673,-2.691731975973816,-5.4315208129528,1.2202397767898234
776313,got up,,,,,,,7,Experimental,Phrasal Verb,I got up early to catch the sunrise.,1,0.8159999999999172,0,5106136,0.044536,0.277,0.327,0.05,0.9,368,40,0.5389999999999172,1064910000000,4.794899099454414,1.5675526652473475,-3.1114574281009304,-0.6180397080732934
776313,uproar,,,,,,,301,Experimental,Word-Internal,The uproar in the crowd grew as the controversial decision was announced.,1,0.7340000000000373,NA,902476,NA,0.139,0.228,0.089,0.9,368,42,0.5950000000000373,1064910000000,0.8474669220873126,-0.16550347047469333,NA,-0.5191938734364446
776313,riled up,,,,,,,76,Experimental,Phrasal Verb,"The controversial statement riled up the crowd, sparking a heated debate.",1,2.2409999999999854,1,50027,0.472421,1.77,1.824,0.054,0.9,368,44,0.47099999999998543,1064910000000,0.0469776788648806,-3.0580827078497377,-0.7498847417943059,-0.7528971849657502
776313,upsets,,,,,,,289,Experimental,Word-Internal,The unexpected turn of events upsets their plans for the evening.,1,2.19399999999996,NA,448459,NA,1.748,1.83,0.082,0.9,368,45,0.44599999999996,1064910000000,0.42112385084185516,-0.8648283060407279,NA,-0.8074363269621627
776313,summed up,,,,,,,29,Experimental,Phrasal Verb,"To conclude, I summed up the main points of my presentation.",1,1.7730000000000246,1,1556955,2.410808,1.31,1.402,0.092,0.9,368,46,0.4630000000000245,1064910000000,1.4620531312505283,0.37984170215188046,0.879961961021777,-0.7700282248958501
776313,charged up,,,,,,,134,Experimental,Phrasal Verb,"It took three hours, but the battery was completely charged up.",0,4.050000000000068,1,84121,0.00498,2.742,2.893,0.151,0.9,368,47,1.3080000000000682,1064910000000,0.0789935299696688,-2.5383893289871478,-5.302325387945576,0.2684992530350591
