Item,Word,gpt2_surprisal
1,set up,1.3569999933242798
2,picked up,0.6626911759376526
3,made up,3.6843366622924805
4,looked up,2.1987595558166504
5,give up,0.8122379183769226
6,come up,0.9552023410797119
7,got up,4.668705940246582
8,stood up,1.6496930122375488
9,take up,3.595858097076416
10,end up,0.0744316428899765
11,grew up,0.0999327301979065
12,put up,3.186507225036621
13,went up,0.2585591673851013
14,brought up,1.902355670928955
15,caught up,2.0585291385650635
16,keep up,4.815130710601807
17,held up,0.8084117770195007
18,show up,1.162513017654419
19,wake up,0.10954409092664719
20,built up,1.8219468593597412
21,shut up,0.5669620633125305
22,hung up,0.8349089026451111
23,sat up,3.3641700744628906
24,opened up,2.015138626098633
25,drawn up,0.051829081028699875
26,pulled up,2.0575408935546875
27,turned up,2.376058578491211
28,walked up,2.4659814834594727
29,summed up,0.21764138340950012
30,break up,0.5083555579185486
31,lined up,0.20255114138126373
32,tied up,2.4599509239196777
33,clean up,0.8455016613006592
34,lit up,0.5098941922187805
35,jumped up,2.5552878379821777
36,add up,0.016252409666776657
37,live up,1.570219874382019
38,follow up,3.0551958084106445
39,leading up,0.13584169745445251
40,bound up,3.4785778522491455
41,wound up,0.1019272431731224
42,locked up,1.457177758216858
43,rose up,2.7098922729492188
44,backed up,0.40298137068748474
45,sprang up,1.586822509765625
46,ran up,3.101590871810913
47,wind up,1.6872456073760986
48,rolled up,2.38759183883667
49,glanced up,2.400052070617676
50,lifted up,2.7183382511138916
51,shacked up,0.39161938428878784
52,cooped up,0.16500510275363922
53,clammed up,1.4204566478729248
54,sprucing up,0.11274993419647217
55,perked up,0.07123570144176483
56,dolled up,0.28784435987472534
57,beefing up,0.1725405752658844
58,wised up,0.12638883292675018
59,conjures up,1.0198359489440918
60,shored up,0.15640361607074738
61,messed up,0.5500975251197815
62,welled up,0.20613718032836914
63,holed up,0.07237981259822845
64,conjured up,0.8225294947624207
65,tidying up,0.5203553438186646
66,teamed up,0.08573425561189651
67,gobbled up,0.3956378400325775
68,freshen up,0.8771129846572876
69,revved up,1.030151605606079
70,roughed up,0.6229692101478577
71,piling up,0.3012089431285858
72,jacked up,0.044457193464040756
73,screwed up,0.574863076210022
74,chalked up,1.0253429412841797
75,scooped up,0.6351979374885559
76,riled up,1.6609323024749756
77,propped up,1.1126052141189575
78,sprung up,1.5027236938476562
79,mopping up,0.4251435101032257
80,bricked up,2.867462396621704
81,cluttering up,2.1519391536712646
82,trussed up,1.072450041770935
83,curled up,0.7485744953155518
84,fucked up,1.9112943410873413
85,firmed up,0.12667517364025116
86,shrivel up,1.861854910850525
87,cranked up,1.4541661739349365
88,buoyed up,3.493185043334961
89,snuggle up,0.8426325917243958
90,balled up,2.6548571586608887
91,speeding up,1.5491300821304321
92,dammed up,3.0585246086120605
93,toughen up,0.33715200424194336
94,dished up,4.125308036804199
95,puffed up,0.5386638641357422
96,wadded up,2.3198256492614746
97,straightens up,0.5921904444694519
98,piped up,0.1820276975631714
99,trumped up,0.07008383423089981
100,soaks up,0.9606333374977112
101,act up,3.934497833251953
102,coughed up,0.47767987847328186
103,offering up,2.9561893939971924
104,matching up,1.6247056722640991
105,fired up,3.407153844833374
106,scroll up,2.517274856567383
107,keyed up,1.9053759574890137
108,brace up,6.880584716796875
109,climbed up,1.917380452156067
110,extended up,4.6129631996154785
111,spoken up,6.383213043212891
112,rubbing up,5.152039051055908
113,tacked up,4.195725440979004
114,washed up,2.3028340339660645
115,flowing up,5.036520004272461
116,scraping up,3.3514387607574463
117,flipped up,2.673576831817627
118,finishing up,2.9844555854797363
119,divided up,1.9596812725067139
120,clears up,1.8209125995635986
121,sneaked up,2.0352067947387695
122,packing up,1.5219467878341675
123,reached up,5.238099098205566
124,weigh up,3.5613784790039062
125,churning up,5.556948184967041
126,traveled up,4.36949348449707
127,rising up,2.5046029090881348
128,sauntered up,2.258281707763672
129,measured up,3.4636735916137695
130,cleaning up,1.0281946659088135
131,creeps up,2.5852041244506836
132,mixed up,1.3793308734893799
133,strolling up,3.969595193862915
134,charged up,3.9037985801696777
135,heaved up,3.4419186115264893
136,scrambled up,3.1809396743774414
137,lightened up,1.9703747034072876
138,glided up,3.2113234996795654
139,bumping up,0.19834372401237488
140,pay up,3.9881739616394043
141,laying up,5.553217887878418
142,swim up,3.4863028526306152
143,closes up,6.349325656890869
144,dried up,1.477794885635376
145,step up,2.414994239807129
146,blows up,1.3164769411087036
147,hit up,3.7382407188415527
148,dig up,1.9628198146820068
149,hold up,1.9615318775177002
150,flew up,2.9076571464538574
